Question
"Informasi (2020, januari)
Perpus dari jam 9 pagi ~ jam 3.30 normalnya.
Internet 24 jam.
Pinjam/kembalikan buku sampai jam 16 sore.
Buka kecuali hari libur nasional.
Semua fasilitas gratis, termasuk loker dan bikin Kartu Anggota.
Musholla, Kantin Ada."
"Kak, itu bayar brpa y kalau kesana?"
"Assalamu'alaikum warahmatullahi wabarakatuh, mau bertanya. Perpustakaan ini bukanya jam berapa ya sekarang?"
Ini musim virus perpus bukak nggak ya? Terimakasih
"tgl 1, 2, dan 3 januari 2020 buka tidak ya?"
"Ada link buat ngecekbuku apakah ada atau tidak, ngga ya?"
Kl hari libur muharram buka gak?
Area luar gedung buka 24 jam atau tidak ya?
"Apa di sini menerima sumbangan Buku T. Sipil. Saya mau sumbangin buku"" saya. Biar bisa membantu bahasiswa teknik sipil"
"Saya mau tanya dong,di perpustakaan ada fasilitas komputer nya gak ya untuk bisa di gunakan pengunjung/ umum?"
Apakah sudah mulai buka hari ini?
Kak untuk referensi apakah ada buku pegangan kimia tingkat perguruan tinggi?
Kak jam istirahat pelayanannya jam berapa ya?
"Kalau hari minggu buka nggak ya kak , dimasa pandemi gini"
Kak kalau pandemi gini tutup jam 5 atau sudah kembali tutup jam 18?
Assalammualaikum mau tanya selama covid apakah boleh Baca diperpus
apakah wifi gratis bisa dipakai tanpa harus menjadi anggota? terimakasih
Misi kak mau tanya puskot bukanya kapan ya?
Perpus udah mulai buka belom ya?
"Permisi kak kalau ingin membuat kartu keanggotaan perpustakaan apa saja syaratnya kalau bekerja? 
Apa masa pendemi seperti ini bisa mengajukan pembuatan kartu?"
Untuk mengurus surat keterangan bebas pustaka dengan posisi saat ini di luara Yogyakarta bagaimana ya? Terima kasih
haloo apakah perpustakaan tetap buka pada hari sabtu dan minggu??
Sore ini layanan wifi bisa dipakai?
Masih buka 24 jam?
Mau bertanya apakah perpustakaan yogya ini menyediakan permohonan buku untuk membuat taman bacaan? jika iya proposal harus dikirim kemana ya?
Tutupnya itu beneran jam 3 pagi kah? Mohon yang tau ya trimakasih
Boleh pake sandal gak kesana?
Hari ini buka gak ?
Kalau besok buka seperti biasa? Atau libur?
"Kalau saya KTP Bandung, tinggal sementara di Semarang.. bisa nggak ya baca buku di sini? Hanya utk baca di tempat saja, tidak dipinjam pulang. Harus daftar jadi anggota atau bisa sbg visitor saja? Tks."
Hari minggu buka tidak ya?
Buka nggk kak hari ini? Soalnya kemarinkan lebaran.
"Maaf mau tanya min
Apakah di perpus ini menyediakan kitab kuning islam?"
"Min, saya ada buku2 lama, lumayan banyak. Bisa di sumbang kan di sini kah? No yg bisa di hubungi?"
Hari minggu buka sampai jam berapa ya?
Apanah ada buku kartun untuk anak2?
Apakah tetap bisa membaca buku saja tanpa menjadi member perpus?
"sekarang bukanya jam berapa ya? lalu, apa masih ada pembatasan seperti saat pandemi?"
Itu lantai atas sudah bisa dipakai belum?
"Mau nanya, disini apakah ada buku tentang pasar modal/saham gitu ngga ya?"
Mau tanya.... perpustakaan kota buka nggak ya hari Minggu?
"apakah bisa menerima kegiatan fieldtrip/outingclass untuk anak TK/PAUD? 
informasi kontak dan kegiatannya seperti apa ya, kalau ada?"
Hari rabu jam istirahat pelayanannya jam berapa ya?
kl anak smk harus minta ttd dari sekolah kah?? g bisa langsung kesana daftar pake kartu pelajar aja??
"Diperpus kota jogja, apakah bisa untuk kunjungan ? bagaimana pengajuannya, bls. terima kasih."
Apakah hari sabtu buka? Kalau buka sampai jam berapa?
apakah layanan saparatu masih ada?
minggu buka ngga ya?
"Apakah ada ruangan diskusi dengan papan tulis? Jika ya, bagaimana cara meminjannya?"
"sekarang bukan masa pandemic lagi, jam buka perpustakaan apakah
berubah atau masih sama ya?"
Kak mau tanya bisa gak urus surat bebas pustaka?
Misi mas mau tanya kalo buat surat bebas pustaka bisa gak?
"Selamat pagi.. mau tanya, apakah tersedia tempat untuk mengerjakan tugas?. Karena sudah lama tidak ke puskot, terakhir pas masih ada tempat diluar buat ngerjain tugas, sekarang dah ndak ada.."
Apakah ada outdoor smoking area?
Apa kah menyediakan ruang komputer gratis?
Jam layanaan perpus jam berapa ya? Dan kalau
"apakah perputakaan kota jogjakarta punya buku butir butir estetika timur penulis sp gustani, kalau ada saya mau baca ditempat untuk saya kutip sebagai sumber buku dalam penulisan skripsi atau laporan tugas akhir ???"
kak besok sabtu buka tidak?
"Assalamu'alaikum wr.wb. Selamat siang admin. Mohon maaf, saya izin bertanya, saya mahasiswa jogja namun berasal dari luar jogja, apakah jika ingin berkunjung ke perpustakaan ada syarat tertentu? seperti kartu vaksin dll. Terima kasih banyak"
Hari minggu buka tidak yaa?
"Kak, untuk area luar perpus buka sampai jam berapa ya? Makasih"
Ada cas casan buat hp ga
"mohon info, besok buka gak ya kak?"
Apakah perpustakaan masih buka??
Jumat buka sampe jam berapa ya?
Apakah perpus kota sudah buka dan apakah kalau berkunjung harus menunjukan kartu vaksin ?
Apakah sudah buka?
Perpuskot kapan akan buka lagi ya?
"apakah hari ini buka,mengingat sedang ppkm?"
Kapan layanan perpustakaan kembali di buka?
"Kalau mau pinjam buku,batasannya sampai brp hari?"
"masih adakah program gerakan sumbang buku, saya berencana menyumbangkan beberapa buku yang bisa dibaca umum.. terima kasih"
kalau baca ditempat harus bawa kartu identitas gak ya? terima kasih
Apa anak 5 tahun blh masuk?
Apa syarat menjadi anggota Perpustakaan Jogja ?
Jumat habis jumatan buka jam berapa ya?
Apakah bulan Ramadhan ini buka?
"selamat siang, apakah perpus menerima buku buku yg masih layak baca ? jenis buku apa yg bisa diterima?"
Apakah besok perpus buka?
Ada ruang multimedianya?
"Selamat Pagi Sobat Baca Jogja, saya mau tanya apakah selama pandemi perpus jogja buka? setiap hari apa dan waktu buka dari pukul berapa dan tutup jam berapa? anak anak usia minimal berapa tahun yang boleh masuk selama pandemi ini?"
Apakah perpustakaan masi tetap bmuka? Ada ketentuan khusus tidak? Kalo mau kesitu?
Selama pandemi buka engga ya?
Kak kalau tanggal merah tetap buka tidak ya?
Kak mau tanya terkait prosedur peminjaman buku bagaimana ya?
mau nanya ada referensi skrispsi ngga kak??
Kak kalau kesini harus menggunakan surat izin tidak ya ?
Apakah membuka magang mahasiswa?
Untuk ruang diskusi ini ketentuan peminjaman selama PSBB bagaimana ya?
Parkir dr pintu masuk ke arah mana ya?
"Kak, untuk masa pandemik seperti ini, apakah perpustakaannya ada batas usia?"
Apakah hari ini perpustakaan buka?
Saya dengar di sini ada semacam ruang diskusi yang bisa dipinjam. Apa benar? Ketentuan pinjam ruangnya bagaimana dan apakah ada jadwalnya? Saya perlu ruangan tenang untuk kegiatan praktikum kampus.
apakah ada buku tentang mental health?
"kalau mau kembalikan buku di psbb seperti ini kok jadi ribet ya? saya seharian bolak balik perpus cuma karna penuh dan gaboleh masuk.
ada solusi lain kah?
trims"
Kak disana ada buku novel ga ka?
Ini untuk mejanya ada kubikel gitu gak ya?
"(Diterjemahkan oleh Google) Bisakah Anda menyumbangkan buku?

(Asli)
Klo nyumbang buku bole ga kao?"
Kapan buka kembali ?
Syarat buat kartu anggota apa aja ya? Di foto copy atau bisa bawa asli ktm nya untuk mahasiswa?
"izin bertanya min,untuk perpustakaannya setiap harinya buka jam berapa ya?"
untuk kondisi pandemi apakah tetapbuka? terutamalingkungan luar
Apakah perpustakaan masih buka?
Kak minta no WA perpustakaan kota Jogja dong ? Saya butuh banget 🙏🙏
Kak Kalo mau masuk harus punya kartu anggota perpustakaan kah??
Kak kalau besok sabtu buka nggak ya?
"Kak mau tanya ini kalau kita pnjam buku untuk bawah pulang, kira kira syaratnya apa yah atau gk bisa pnjam bawah pulang???"
"Slmat pagi,,,,,hri ini buka tdk ya?"
"Adakah referensi untuk skripsi? 
Khususnya saya ingin mencari data akuntan publik di Yogyakarta, untuk penelitian 🙏
Mohon infonya, terimakasih."
"Permisi mau nanya kalau perpustakaan tutup apa tetap buka pas cuti bersama gini, terima kasihh"
Cuti bersama rabu besok buka tidak?
"Kapan saja waktu yang bisa saya gunakan untuk hanya belajar di meja di kondisi pandemic seperti sekarang? Dan regulasi apa saja yang harus dipatuhi untuk belajar di tempat? Terima kasih banyak, pak/bu."
Apakah diperbolehkan untuk dipinjam dan dibawa pulang? maksimal berapa hari dan apa saja syarat nya ya?
Kak ada novel bahasa Inggris ngga? Makasih kak 🙏😊
Ka perpusnya udah buka untuk umum?
"Kak, hari minggu apakah buka? Sampai jam berapa bukanya?"
Pas pandemi ini protokol kesehatannya bagaimana ya? Lalu gazebo yg luar tutup jam brp? Terimakasih
Bisakah/diterimakah seandainya kami mau menyumbang buku? Trm ksh
kak untuk nomer wa buat perpanjang buku bagaimana ya kak
Kak kalo mau minjem buku syaratnya apa?
"Mau menanyakan, apakah perpus buka saat pandemi? Bisa tolong diinfokan hari dan jam bukanya? Terimakasih sebelumnya"
Lagi musim pandemi ini apakah yg diluar tetap bisa 24 jam?
"Maaf mau tanyak, apakah saat ini perpustakaan melayani baca di tempat dan adakah batas minimal umur untuk masuk? Terima kasih 🙏"
Untuk luar daerah jogja juga bisa pinjam buku tdk kak?
Apakah siswa SLTA Sederajat sudah bisa membuat kartu anggota perpustakaan?
Syarat membuat kartu perpus apa aja ya kak?
Hari sabtu buka nggak ka?
"Bisakah masuk baca di tempat, pakai komputer perpus saat ini?"
Untuk saat ini sudah boleh dikunjungi atau masih belum ya?
"Mau tanya, semisal saya telat mengembalikan buku dikarenakan buku saya tertinggal di kost jogja,dan posisi saya sekarang lagi diluar Jogja. Apakah dikenai denda untuk yang telat mengembalikan ?"
"Anak² belum boleh kesana ya?
Tapi kl buku² di bag anak² buka kan? Maksudnya bisa dipinjam?
Soalnya tadi ke perpus grahatama tutup, bisanya yg buku bagian umum aja"
masa berlaku kartu anggota perpus brp tahun ya?
apa sekarang udah bisa masuk ke dalam perpustakaannya? tanpa menggunakan drive thru?
Apakah hari sabtu buka?
Kalau hari sabtu buka ngga ya?
Itu beneran 24 jam? Dan sabtu minggu buka tidak?
"usul : kursi di halaman yang ada meja bundar, mngk sebaiknya tidak dipaku ke lantai karena jarak kursi dan meja terlalu jauh, sangat tidak nyaman untuk mengetik. Atau kalau mau tetap dipaku agar tidak geser2, mngk kursinya agak dimajukan dikit"
Perpustakaan buka ndak yah? Saat ini?
Apakah sudah boleh melakukan peminjaman di sana langsung?
"Mau tanya, ap betul setiap sabtu minggu perpus ttup?"
Kapan ada diklat tenaga perpustakaan yaa
Untuk masa new normal jam buka perpusnya berubah gak ya?
Kalo kita belum mendaftar sebagai member perpustakaan kota Jogja apakah kita boleh meminjam buku dan dibawa pulang?
Hari ini 30 Juni 2020 buka gak yaa..?
Info jadwal perpus buka kapan saja pas virus begini?
Apakah bisa mendaftar anggota perpustakaan dan meminjam buku pada hari yang sama?
Apakah bulan juni ini sudah buka kembali?
"kak, apakah d sini ada yg pernah pakai layanan JAMILA ?"
"Untuk saat ini, perpustakaan buka dari pukul berapa sampai pukul berapa ya?"
kak sekarang buka engga ya???
mau nanya perpusnya udah buka belum ya?
Kak. Perpusnya buka kah hari ini?
Kak. Perpus pas ada bawah gini buka ndak ya? :(
untuk hari ini buka gak? perpus apa akan di lockdown??
Hari Minggu ini buka tidak ya?
Nomor wa untuk pengajuan keterlambatan pinjaman berapa ya? Btw ini bener buka 24 jam?
Apakah terdapat buku ekonomi manajemen disini?
Kalau telat ngembaliin buku nya denda berapa ya?
Ada buku untuk referensi skripsi ndak ya?
Cara meminjam ruangan yang ada di perpustakaan gimana caranya ya kak ?
apakah di perpustakaan ini terdapat mesin ketik yang dapat digunakan. atau apakah ada yang tau dimana bisa mengetik dengan mesin ketik.
apakah boleh membawa anak kecil? jika boleh anak usia berapa minimal? apakah buku2 untuk anak2/balita tersedia? terimakasih
"Bisa nyari buku lewat online ngga di perpustakaan ini? Biar kalo fix udah ada, langsung dateng, karena dari luar kota."
"Kak, kalau mau masuk ke perpuskot harus punya kartu anggota? Dan bolehkh meminjam buku?"
perpus bagian dalam buka jamberapa ya senin-minggu?
Permisi apakah banyak buku tentang kebanksentralan?
Jl ngembalikan bukunya telat sehari bgm? BS minta no WA nya?
"Kak, kapan ya perpusnas mengadakan diklat perpustakaan"
"Temen"" mau tanya dong..itu kalo mau masuk harus buat kartu anggota perpustakaan ga sii?? Siapapun yg tau jawab ya :)) Thanks.."
Pak kalo mau buat kartu perpustakaan syarat nya apa aja pak. Sama bayar berapa hehe?
Apa ada koleksi naskah kuno?
"besok buka ga min?,?"
Itu bukanya beneran 24 jam? Atau gimana? terimakasih
Layanan pengembalian buku mulai dari jm brp ya?
Kak klo boleh tau kira² klo mau masuk harus daftar dulu ga ya...?
Saran saya di lingkungan Pemerintahan bukan Satpam yang jaga tapi SATPOL PP karena
